id;type;source;label;remarks;geom;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude
721;cities and towns outside Greater Ouagadougou;Hanna;Tô;estimate according to googlemaps;0101000020E6100000275F88C65CC501C026B2881244E22640;0;7;2015-08-04 10:23:49.833385+02;;;0;0;0;11.4419256011834;-2.22136836150812
495;cities and towns outside Greater Ouagadougou;OSM;Toessin (Ouahigouya road);;0101000020E61000009A9E71F161DD03C03269A7DAD4482B40;;;2014-05-21 13:49:47.74048+02;7;2015-08-04 10:29:45.284437+02;0;0;0;13.6422489480361;-2.48309696796407
722;cities and towns outside Greater Ouagadougou;Hanna;Tansila;estimate according to googlemaps;0101000020E6100000EE2E4463939A11C07037F4D821D62840;0;7;2015-08-04 11:03:41.512379+02;;;0;0;0;12.4182269857517;-4.4009528646818
723;City in foreign country;Hanna;Takoradi (Ghana);estimate according to googlemaps;0101000020E6100000F17A736BD731FBBF98D1A479DECC1340;0;7;2015-08-04 11:06:00.017319+02;;;0;0;0;4.95006742542719;-1.69966833088955
724;cities and towns outside Greater Ouagadougou;Hanna;Tama (Tanghin Dassouri);estimate according to googlemaps;0101000020E6100000F512307D32A8FCBF8BCE65B31AAB2840;0;7;2015-08-04 11:09:49.240276+02;;;0;0;0;12.3341880857254;-1.79106377507668
725;cities and towns outside Greater Ouagadougou;Hanna;Solenzo;Estimation according to google search;0101000020E6100000F82F44635E5810C06CD91525735C2840;0;7;2015-08-04 11:22:16.205501+02;;;0;0;0;12.1805659856006;-4.08629756072695
726;cities and towns outside Greater Ouagadougou;Hanna;Soala;estimate according to googlemaps;0101000020E6100000FDC1108DE562FFBF44168278374D2940;0;7;2015-08-04 11:24:44.812853+02;;;0;0;0;12.650813833122;-1.96164469817825
567;Market in Ouaga;WASCAL;Marché de Wemtenga;;0101000020E610000068276D313BC8F7BFEF32BD78DDBF2840;;;2014-05-21 13:49:47.74048+02;;;;;;;
727;Place in Ouagagadougou;Hanna;SIAO (Ouagadougou);estimate according to googlemaps;0101000020E610000042BF100DCCD6F7BF82C424B318B32840;0;7;2015-08-04 11:27:17.121326+02;;;0;0;0;12.3497978193648;-1.48994069198302
728;cities and towns outside Greater Ouagadougou;Hanna;Sissilé;estimate according to googlemaps;0101000020E61000009F6088C6420806C02A0240A8A25D2A40;0;7;2015-08-04 11:32:46.08438+02;;;0;0;0;13.1828816011558;-2.75403361419383
729;cities and towns outside Greater Ouagadougou;Hanna;Silly;estimate according to googlemaps;0101000020E6100000CD5F88C6D4F003C023A9B2855B322740;0;7;2015-08-04 11:40:31.389463+02;;;0;0;0;11.5983545094101;-2.49259333709413
730;cities and towns outside Greater Ouagadougou;Hanna;Sièmtenga;estimate according to googlemaps;0101000020E61000004AA0592C50A2FDBF63996BC46C112940;0;7;2015-08-04 13:24:10.675971+02;;;0;0;0;12.5340329533908;-1.85212724041232
731;cities and towns outside Greater Ouagadougou;WASCAL;Pagatenga;;0101000020E61000000DBD108DEBDBF8BFD032F3AE8B352940;0;7;2015-08-04 13:49:58.76636+02;;;0;0;0;12.604581324756;-1.55369143584886
733;cities and towns outside Greater Ouagadougou;Hanna;Pâ;estimate according to googlemaps;0101000020E6100000576088C6640F0AC0060D787C02182740;0;7;2015-08-04 13:54:09.428272+02;;;0;0;0;11.5468939682528;-3.25751643279731
734;cities and towns outside Greater Ouagadougou;Hanna;Nobéré;estimate according to googlemaps;0101000020E6100000DFC3108D8934F3BF3E405059A01B2740;0;7;2015-08-04 14:05:41.285005+02;;;0;0;0;11.5539577398741;-1.20032649139124
735;cities and towns outside Greater Ouagadougou;WASCAL;Nissaré;;0101000020E6100000B1C3108DB966FABFD101F67B9D732640;0;7;2015-08-04 14:08:19.293504+02;;;0;0;0;11.2258108842661;-1.65007929900842
736;cities and towns outside Greater Ouagadougou;WASCAL;Nioniogo;;0101000020E6100000E83655337DF5F8BF0DD00F691D2C2940;0;7;2015-08-04 14:11:49.491034+02;;;0;0;0;12.5861618835261;-1.55993385364439
737;cities and towns outside Greater Ouagadougou;WASCAL;Nédogo;;0101000020E61000007A7E211A23A5E6BFD52ACB5450472840;0;7;2015-08-04 14:22:32.797162+02;;;0;0;0;12.1392847536094;-0.707658339535512
738;City in foreign country;Hanna;Mopti (Mali);estimate according to googlemaps;0101000020E6100000F52F44634ED110C01D095B18FCFC2C40;0;7;2015-08-04 14:33:35.346258+02;;;0;0;0;14.4941108332756;-4.2044005880707
706;cities and towns outside Greater Ouagadougou;Hanna;Mogtédo (Fada road);estimate according to googlemaps;0101000020E61000002284211ACFD6EABFE461055B0C922840;0;7;2015-07-30 15:44:47.364653+02;7;2015-08-04 14:41:49.145521+02;0;0;0;12.2852505153723;-0.838721800839384
71;Locations within Greater Ouagadougou;WASCAL;Mogtedo (near Koubri);;0101000020E610000079C2EFAF6B37F6BFD2AA3565B1832840;;;2014-05-21 13:49:47.74048+02;7;2015-08-04 14:42:08.713374+02;0;0;0;12.2572127941143;-1.38853043294162
739;cities and towns outside Greater Ouagadougou;Hanna;Malou;estimate according to googlemaps;0101000020E6100000B2C1108DF7A2F8BF05D7A2EAA8F82940;0;7;2015-08-04 14:49:50.404372+02;;;0;0;0;12.9856637309818;-1.53978686431593
740;cities and towns outside Greater Ouagadougou;Hanna;Laba;estimate according to googlemaps;0101000020E61000005A6188C6E85305C02F4C61FF9F9E2740;0;7;2015-08-04 15:10:31.179674+02;;;0;0;0;11.8098144346496;-2.66597132781696
741;City in foreign country;Hanna;Kintampo (Ghana);estimate according to googlemaps;0101000020E61000004AC4108DF9ACFBBFE4946074A11A2040;0;7;2015-08-04 15:40:59.544732+02;;;0;0;0;8.05201305083251;-1.72973017791471
742;cities and towns outside Greater Ouagadougou;WASCAL;Kinkirsgogo;;0101000020E610000076C4108D01E1FBBF4B3DEFEB97AD2740;0;7;2015-08-04 15:52:37.395111+02;;;0;0;0;11.8390496949711;-1.74243311980925
743;cities and towns outside Greater Ouagadougou;WASCAL;Kalwiga;;0101000020E61000003AC2108DB3BBF6BFFBB1266921A02740;0;7;2015-08-04 15:58:06.048154+02;;;0;0;0;11.8127549037681;-1.42082553008744
744;City in foreign country;Hanna;Dakar (Sénégal);Estimation according to google search;0101000020E6100000960CD1987B5931C021F8A8C27D8A2D40;0;7;2015-08-04 16:21:05.202249+02;;;0;0;0;14.7704907256376;-17.3495421896337
745;cities and towns outside Greater Ouagadougou;;Djibasso;estimate according to googlemaps;0101000020E610000046463341EDA510C07F698DB9503B2A40;0;7;2015-08-04 16:31:56.308388+02;;;0;0;0;13.1158502564547;-4.162037867312
746;cities and towns outside Greater Ouagadougou;Hanna;Bourou;estimate according to googlemaps;0101000020E6100000E6F4D2A8281100C0DED983F6B21D2840;0;7;2015-08-04 16:53:14.266411+02;;;0;0;0;12.0580060039474;-2.0083783330325
747;cities and towns outside Greater Ouagadougou;Hanna;Boura (close to Ghana);estimate according to googlemaps;0101000020E6100000FB8B6682220204C0BD7A73C33C142640;0;7;2015-08-04 16:57:09.889609+02;;;0;0;0;11.0395260885683;-2.5010423839135
748;Foreign country;Hanna;Thailand;estimate according to googlemaps;0101000020E61000001D94D2CB6A355940039FB6D8143D2B40;0;7;2015-08-04 18:52:15.120933+02;;;0;0;0;13.6192996714522;100.834643321651
