id;fk;creator;created;last_editor;last_edited;area;perimeter;length;latitude;longitude;geom;fclass_osm;label;source;type;remarks
133;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.4828648;10.6635529;0101000020E6100000F854A934BD532540EE8E311C74EE1940;village;Chup;OSM;Settlement;
134;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5390272;11.0704054;0101000020E610000071EC342D0C242640289E0EBFF6271A40;village;Chye;OSM;Settlement;
135;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7350677;10.4661032;0101000020E6100000341F2114A5EE24403E624F96B5F01A40;village;Dabene;OSM;Settlement;
136;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8760138;9.726207;0101000020E6100000A7406667D1732340F560F7C209811740;village;Denku;OSM;Settlement;
137;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.8501273;9.7561493;0101000020E61000005EC944002683234043BF5BC587661740;village;Diche I;OSM;Settlement;
138;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.82883;9.7771262;0101000020E6100000C1BA3B7CE38D234054C6BFCFB8501740;village;Diche II;OSM;Settlement;
139;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.334794;10.5192684;0101000020E610000047B1378CDD0925408D96033DD4561940;village;Din;OSM;Settlement;
140;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5021293;10.3584534;0101000020E6100000AF473C3487B724401874E72E2E021A40;village;Djingbe;OSM;Settlement;
141;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.7041861;10.5124293;0101000020E61000003C061A225D062540EF30372916D11A40;village;Dumbo;OSM;Settlement;
142;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.2154257;10.8014899;0101000020E61000000C2659E25C9A254023DF008E98DC1840;village;Dzeng;OSM;Settlement;
143;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9911502;9.8188662;0101000020E61000007F99396E42A3234008B2F913F0F61740;village;Ebang;OSM;Settlement;
144;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3846646;10.1827447;0101000020E6100000E0089CB6905D244037B75384E5891940;village;Ebo;OSM;Settlement;
145;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8979619;10.6257739;0101000020E61000007961C66F654025405237065383971B40;village;Ebosheng;OSM;Settlement;
146;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9756044;9.8003269;0101000020E6100000D7378B72C4992340B655FFD604E71740;village;Edem;OSM;Settlement;
147;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8834663;10.6280547;0101000020E6100000BC32B96290412540F678C663AB881B40;village;Edifia;OSM;Settlement;
148;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7749602;9.8509403;0101000020E610000065B26E72AEB3234075CEAA2A8F191740;village;Efa;OSM;Settlement;
149;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.9336695;9.6955803;0101000020E6100000D67BE0192364234037177FDB13BC1740;village;Egbeachu;OSM;Settlement;
150;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7814907;9.8973179;0101000020E6100000153B75406DCB234039831A193F201740;village;Enyo;OSM;Settlement;
151;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5721224;10.094672;0101000020E61000009EB12FD978302440723C5574DA491A40;village;Essu;OSM;Settlement;
152;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.989813;9.8603914;0101000020E6100000F184B93885B82340629F008A91F51740;village;Etwii;OSM;Settlement;
153;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;5.7553611;9.9146965;0101000020E61000000588821953D42340AEAE54617D051740;village;Ewa;OSM;Settlement;
154;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3319227;10.1939986;0101000020E610000088F0D4C8536324403833558BE3531940;village;Ewo;OSM;Settlement;
155;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5501426;10.2886615;0101000020E6100000863AAC70CB932440AF8BEC9458331A40;village;Fang;OSM;Settlement;
156;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.5303281;10.6398078;0101000020E6100000907351E3944725406A9956540E1F1A40;village;Fingo;OSM;Settlement;
157;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.073286;10.4669554;0101000020E6100000966137C714EF2440C504357C0B4B1840;village;Finkue;OSM;Settlement;
158;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.3455658;10.2210768;0101000020E610000005CF73FA30712440DD764600DC611940;village;Fom;OSM;Settlement;
159;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.0398433;10.1976535;0101000020E61000003FE1ECD632652440DFDB99AECC281840;village;Foya;OSM;Settlement;
160;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;6.8777817;10.0227117;0101000020E61000001F7931DEA00B2440F01BBA34D9821B40;village;Furubana;OSM;Settlement;
161;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.0154613;10.1580613;0101000020E6100000C8862469ED502440226A4716D50F1C40;village;Furuwa;OSM;Settlement;
162;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.0689545;10.595577;0101000020E6100000E57FF277EF302540ECA529029C461C40;village;G. Boro;OSM;Settlement;
163;0;7;2017-03-23 12:36:44.559086+01;;;0;0;0;7.0129382;10.6157144;0101000020E61000003F5AF7EA3E3B2540F779E7AB3F0D1C40;village;Gajeri-Bagu;OSM;Settlement;
